76,76,76,76	0,1,1,1
76,76,76,76,76,76	1,1,0,1,1,1
13,13,13,13,76	0,1,1,1,0
42,42	0,1
76,76,76	1,1,1
76,76,76,76,76,76,76	0,1,1,0,1,1,1
36,36,36,36,36,36,36,36,36,36,13,13,13,27,27,27,42,42,42,42,42	1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1
76,76,76	1,1,1
56,56,56,56,56,56,56,56,62,62,62,23,23,23,32,32,32,1,33,33,33,1,1,1	0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
42,42,42,92,92,92,92,10,10,10,1,1,1,1,1,1,1,1,1,1,1,9,9,9,11,11,11,42,42,42,62,62,62,23,23,23,1,1,1,1,1,9,9,9,9,42,42,42,32,32,32	1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
92,92,92,92,92,92,92,92	1,1,0,1,0,1,1,1
25,25,25,25,25,25,25,25,25,46,46,46,46,46,46,46,46,40,40,40	1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1
25,25,25,25,92,92	0,1,1,1,1,0
25,25,25,92,92,92	1,1,1,1,1,1
25,25,25,19,19,19,19,19,19	1,1,1,0,1,0,1,1,1
25,25,25,42,42,42,19,19,19,19,19,19,19,25,25,25,25,25,25	1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
25,25,25	1,1,1
19,25,25,25,25	0,0,1,1,1
90,90,90,25,25,25	1,1,1,1,1,1
94,94,94	1,1,1
66,66,66,66,66,41,41,41,29,29,29,41,41,41,41	1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
42,42,42,12,12,12,64,64,64,64,9,9,9,92,92,92,92,56,56,56,56,69,69,69,20,20,20,25,25,25,56,56,56	1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,42,42,42,42,12,12,12,64,64,64,64,64,64,64,64,64,64,9,9,9,9,9,92,92,92,56,56,56,69,69,69,20,20,20,20,25,25,25	1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
10,10,10,10,10,9,9,51,51,51,51,51,51,9,9,9,25,25,25,19,19,19,73,73,73,73,73,73,73,32,32,32,40,40,40,25,25,25	0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
11,11,11,24,24,24,24,24,24	1,1,1,1,1,0,1,1,1
11,11,11,62,62,62,62,1,1,1,1,1,1,1,1,1,3,3,3,75,54,54,54,60,60,60,75,75	1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,60,60,83,83,83,23,15,15,15,16,16,16,35,35,35,35,35,23,23,15,15,15,9,9,9,12,12,12,1,59,59,59,59,59,59,55,55,55,55,55,55,55,55,62,62,62,27,27,27,27,27,27,27,27,43,43,43,43,1,1,1,1,1,59,59,59,55,3,3,3,3,3,54,54,54,60,60,60,60,75,75,75,75,3,3,3,28,28,28,28,28,28,28,28,28,28	1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1
37,37,37,78,78,78,78,78,78,78,78,25,25,25,81,81,81,10,10,10	1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
83,83,83,83,83,60,60,60,35,35,35,16,16,16,15,15,15,62,62,62,55,12,12,12,9,9,9,9,9,27,27,27,27,1,1,1,43,43,43,43,43,59,59,59,59,59,59,15,15,15,3,3,3,75,75,54,75,75,75,54,54,60,60,60,28,28,28,73,73,73,73,73,73,73,51,51,51,51,32,32,32	1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1
11,11,11,62,62,62,1,1,1,1,3,3,3,3,75,75,75,75,75,75,60,60,60,60,54,54,54,54	1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
75,75,46,46,46,46,46,46,46	1,1,1,1,0,0,1,1,1
25,25,25,25,25,72,72,72,72,72,10,10,10,10,10,10,92,92,92,72,72,72,75,46,46,46,75,75	0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,83,83,83,55,55,83,83,83,83,55,55,49,49,49,99,99,99,70,70,70,71,71,71,71,71,71,71,10,10,10,9,9,9,92,92,92,92,40,40,40	1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,65,65,37,37,37,25,25,25,25,78,78,78,78,78,78	1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
37,37,37,78,78,78,25,25,25,81,81,81,81,81,81,10,10,10,10	1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
11,11,11,24,24,24,24,24	1,1,1,0,0,1,1,1
3,3,3,5,5,5,5,5,5,5,1,51,75,50,50,50,45,45,45	1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0
19,19,19,19,19,19,19,19	0,1,0,1,0,1,1,1
93,93,93,87,87,87,45,45,49,51,51,50,50,50,90,90,90,51,51,51,51,51,51,51,51,51,51,47,47,47,47,47,47,47,47,92,92,92	1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,37,37,78,78,78,78,78,78,25,25,25,81,10,10,10,10,81,81	1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,50,50,50,82,82,82,82,82,82,82,82,82,64,64,64,23,23,23,72,72,72,83,83,83,83,60,60,60,60,60,60,60,60,60,60,60,35,15,15,15,15,16,16,16,12,12,12,12,12,9,9,9,55,55,55,55,55,55,62,62,62,27,27,27,27,27,43,43,43,59,59,59,59,59,59	0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0
55,55,55,1,1,1,62,62,62,11,11,11,59,59,59,59,59,59,43,43,43,12,12,12,12,12,12,62,62,62,62,62,62,3,3,3,3,3,72,72,72,52,52,52,52,52,75,75,75,75,75,75,75,75,54,54,54,54,54,54,54,54,54,60,60,60,60,81,81,81,81,20,20,20	1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1
55,55,55,55	0,1,1,1
11,11,11,1,1,1,62,62,62,62,62,62,75,3,3,54,54,54,60,60,60,60,60,60	1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1
73,73,73,73,73,73,73,73,24,24,24,24,24,24,24,6	1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0
11,11,11,24,24,24,24	1,1,1,0,1,1,1
11,11,11,24,24,24,24,24,24,24	1,1,1,1,0,1,0,1,1,1
25,25,25,25,25,25,25,25,25,25	1,0,0,0,0,0,0,0,0,0
19,19,19,19,19,19,25,25,25,66,54,54,54,54,54,54,66,66,66	1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
1,1,1,1,1,55,55,83,83,83,83,83,83,83,38,38,38,55,55,37,37,37,37,37,37,10,10,10,10,10	1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1
11,11,11,62,62,62,1,1,1,3,3,3,75,75,75,75,75,54,54,54,60,60,60,60	1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73	0,1,1,0,1,0,1,1,1,1,1,0,1,1,1
10,10,10,10,10,10,10,10,10,10,10,92,92,92,92,92,92,92,92,92,92,92,72,72,72,72,72,72,72,72,72,72,75,75,75,75,75,75,72,72,72,72,75,75,75,75,75,75,25,25,25,25,46,46,46,46,46,46,46	1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1
83,83,83,83,83,83,14,14,14,47,47,47,59,59,59,59,59,59,59,59,59,59,62,62,62,12,12,12,55,55,55,55,55,55,1,1,1,1,43,43,43,43,43,43,3,3,3,56,56,56,78,78,78,78,78,78,78,78,78,65,65,65,0,0,0,0,79,79,79,79,79,60,60,60,73,73,73,73,73,73,54,54,54	1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1
1,1,1,1,1,1,46,46,46,25,25,25,75,75,75,72,72,72,92,92,92,10,10,10,10,10,10,10	0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
60,60,60,32,32,32,47,59,59,59,59,59,59,62,62,62,62,55,55,12,12,12,3,3,3,3,3,3,43,43,43,43,1,32,32,32,47,47,55,55,55,1,1,1,1,1,1,1,55,55,55,55,62,62,62,55,55,55,55,55,56,56,56,79,65,65,65,78,78,78,0,0,0,0,0,0,60,60,60,60,60,60,79,79,79,73,73,73,73,54,54,54,54,55,55,55,55,55,55,3,3	1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0
37,37,37,78,78,78,78,78,78,78,25,25,25,25,25,25,25,25,25,81,81,81,10,10,10	1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1
11,11,11,24,24,24,24	1,1,1,0,1,1,1
19,19,19,19,19,19,19,37,37,37,37,66,66,66,66,66,54,54,54,54,54,54,54,25,25,25	0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1
83,83,83,83,83,83,83	1,1,0,0,1,1,1
12,12,12,12,45,45,45,51,51,51,62,62,25,62,62,62,62,62,62,62,62,62,25,25,62,62,62	0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1
83,83,83,92,38,38,38,38,38,38,38,55,83,83,83,83,55,55,55,55	1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1
92,92,92,92,92,92,38,38,38,55,55,55	0,1,0,1,1,1,1,1,1,0,0,1
11,11,11,62,62,62,62,62,62,1,1,1,1,1,1,1,1,1,75,75,75,3,3,3,60,60,60,54,54,54	1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,14,14,82,59,59,59,59,59,59,62,62,62,12,12,12,55,55,55,55,43,43,43,43,47,47,47,47,82,82,82,3,3,3,1,1,1,1,1,79,79,79,56,56,56,56,56,56,56,78,78,78,0,0,65,65,65,0,0,60,60,60,73,73,73,54,54,54,3,55,55,55,55,82,82,82,0	1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
37,37,37,78,78,78,78,78,78,25,25,25,81,81,81,10,10,10,10,10,10,10	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
